10176
(455042823, -111.512, -596.91)
(455042827, 23.08, -591.63)
(455042828, 26.0074, -624.712)
(455042829, 29.7997, -649.055)
(455042830, 33.1446, -672.688)
(455042831, 33.454, -694.679)
(455042834, -14.0469, -597.176)
(455042835, -14.3391, -604.26)
(455042838, -4.79144, -657.356)
(455042839, -3.39439, -694.107)
(455042840, 8.83855, -446.388)
(455042841, 6.92562, -466.5)
(455042842, 12.6178, -489.57)
(455042844, 17.6312, -524.043)
(455042845, 24.8614, -541.056)
(455042847, 289.487, -673.96)
(455042848, 323.605, -643.035)
(455042852, 323.799, -720.322)
(455042853, 336.12, -692.244)
(455042854, 311.424, -670.124)
(455042855, 126.148, -518.16)
(455042857, 124.766, -534.229)
(455042858, 127.385, -549.995)
(455042859, 123.605, -566.772)
(455042860, 96.7908, -594.505)
(455042862, 100.444, -604.271)
(455042863, 112.806, -644.578)
(455042864, 117.454, -659.947)
(455042865, 122.949, -681.708)
(455042866, 122.486, -699.116)
(455045911, 236.777, -343.593)
(455045912, 232.971, -362.358)
(455045914, 225.937, -377.083)
(455045915, 208.585, -392.691)
(455045916, 180.675, -405.574)
(455045917, 157.632, -416.441)
(455045918, 149.527, -423.277)
(455045919, 144.991, -435.073)
(455045921, 145.307, -458.806)
(455045922, 152.308, -474.999)
(455045924, 130.211, -332.307)
(455045925, 136.015, -344.963)
(455045927, 132.453, -352.525)
(455045928, 127.358, -383.218)
(455045931, 123.218, -404.448)
(455045932, 139.046, -422.983)
(455045937, 158.389, -255.157)
(455045938, 110.03, -292.019)
(455053154, -82.3471, -157.994)
(455053156, -36.3308, -254.382)
(455053160, -323.938, -408.924)
(455053161, -321.868, -410.503)
(455053163, -310.604, -406.865)
(455053164, -312.924, -396.904)
(455053165, -314.959, -395.735)
(455053167, -323.687, -397.466)
(455053168, -325.215, -399.492)
(455053173, -331.402, -389.846)
(455053174, -312.207, -409.113)
(455053176, -303.087, -417.794)
(455054793, -210.817, -337.786)
(455054795, -232.086, -365.152)
(455054797, -254.06, -386.016)
(455054798, -290.125, -408.209)
(455054801, -338.355, -444.691)
(455055734, -377.121, -494.613)
(455055735, -433.864, -437.341)
(455055737, -440.914, -430.14)
(455055738, -456.39, -411.269)
(455055739, -466.168, -392.289)
(455055740, -475.696, -370.832)
(455055742, -447.568, -348.647)
(455055748, -366.002, -551.167)
(455055751, -397.737, -515.161)
(455055754, -400.181, -415.179)
(455056330, -185.639, -141.596)
(455056331, -158.801, -192.163)
(455059633, 752.304, -314.796)
(455059634, 734.978, -308.446)
(455059636, 711.77, -306.638)
(455059637, 686.062, -311.444)
(455059639, 662.889, -327.408)
(455059640, 649.416, -354.148)
(455059641, 644.794, -406.831)
(455059642, 657.175, -425.378)
(455059643, 697.458, -455.108)
(455059646, 638.406, -353.924)
(455059648, 626.372, -388.385)
(455059649, 638.598, -429.813)
(455059652, 610.226, -377.157)
(455059653, 617.067, -403.741)
(455059655, 622.747, -414.465)
(455059656, 589.923, -434.729)
(455059658, 696.523, -506.555)
(455059660, 740.814, -511.569)
(455059661, 752.078, -466.842)
(455059663, 789.52, -393.461)
(455059666, 798.09, -454.719)
(455059668, 718.283, -459.079)
(455059669, 666.361, -446.602)
(455059670, 647.596, -437.105)
(455060470, 368.993, -407.611)
(455060477, 577.777, -296.086)
(455060478, 514.883, -318.996)
(455060481, 378.794, -359.371)
(455060483, 369.313, -368.211)
(455060494, 364.997, -376.309)
(455060496, 364.381, -390.843)
(455825940, -450.495, -258.237)
(455825954, -435.655, -316.231)
(455951981, -368.741, -112.061)
(455951983, -457.875, -152.878)
(455951984, -329.625, -163.637)
(455951985, -352.97, -156.463)
(455951986, -366.731, -154.127)
(455951987, -379.11, -153.241)
(455951988, -392.671, -152.836)
(455951989, -416.452, -150.171)
(455951990, -464.132, -135.539)
(455951991, -483.527, -125.286)
(455951992, -502.568, -110.814)
(455951993, -525.333, -90.0937)
(455951994, -538.165, -75.6537)
(455951995, -580.687, -14.675)
(455951999, -456.467, -243.061)
(455952000, -457.238, -209.249)
(455952001, -458.164, -163.259)
(455952002, -459.132, -107.989)
(455960983, -234.14, 95.0494)
(455960985, -203.388, 115.036)
(455960987, -194.239, 113.927)
(455960989, -162.46, 67.908)
(455960995, -386.761, -65.4238)
(455960997, -380.514, -73.4047)
(455961002, -372.533, -78.5483)
(455961004, -363.552, -77.1051)
(455961006, -360.082, -71.375)
(455961008, -360.501, -62.4621)
(455961012, -376.532, -41.0404)
(455961014, -383.007, -39.2771)
(455961016, -392.675, -45.4188)
(455970445, -533.834, -78.4686)
(455970467, -475.122, -58.8018)
(455970470, -452.868, -48.0177)
(455970479, -510.296, -1.8373)
(455970481, -521.239, 19.0151)
(466828939, 471.716, 168.358)
(466828941, 345.206, 78.3854)
(466828942, 302.643, 51.6353)
(466828943, 167.945, -17.6941)
(466828944, 94.4884, -73.9898)
(466828945, 69.5294, -88.1385)
(466828997, 337.136, 31.7842)
(466829362, 383.647, 59.5598)
(466829364, 349.568, 56.7321)
(466829365, 388.671, 88.6092)
(466829366, 387.725, 101.461)
(466829367, 386.269, 124.38)
(466829368, 370.651, 92.4592)
(466829369, 373.785, 58.2677)
(466829952, 118.146, 46.7389)
(466829957, 110.787, 58.1122)
(466833121, 215.81, -72.3092)
(466833125, 245.946, -109.04)
(466840232, 265.526, 99.3746)
(466840235, 250.32, 131.078)
(466840238, 241.434, 148.918)
(466840241, 275.493, 79.8629)
(466843541, 457.203, 226.984)
(466850024, 414.623, 213.644)
(466861011, 355.091, 214.416)
(466866150, -163.154, -159.119)
(466868519, 502.64, 442.771)
(467337057, 15.9804, 92.2243)
(467337066, 107.269, 136.331)
(467337074, 58.6733, 229.41)
(467337084, 9.0605, 252.003)
(468228951, 347.966, -33.7396)
(468228957, 393.739, -45.2325)
(468228961, 448.667, -57.1564)
(468228966, 482.041, -64.955)
(468228984, 351.24, -71.5164)
(468228986, 456.289, -117.064)
(468229000, 315.856, -128.69)
(468229008, 301.069, -165.47)
(468229011, 317.929, -172.7)
(468229017, 328.179, -163.091)
(468229022, 368.375, -157.687)
(468229024, 335.598, -137.174)
(468229106, 527.521, 32.5901)
(468229108, 471.3, 29.4771)
(468229124, 503.734, -19.7889)
(468229125, 477.294, -17.1926)
(468229126, 440.387, -22.3185)
(468229167, 554.761, 77.378)
(468229239, 52.0066, -91.7571)
(468229244, 43.9016, -98.5152)
(468229247, 40.4351, -104.867)
(468229252, 39.008, -109.147)
(468229257, 38.1411, -128.466)
(468229273, 231.969, -138.213)
(468229277, 271.48, -27.7919)
(468229285, 284.33, -22.1146)
(468229299, 438.413, -155.565)
(468329121, 735.025, -210.054)
(468329130, 811.741, -177.307)
(468329135, 684.319, -227.257)
(468329136, 728.956, -213.674)
(468329138, 709.181, -149.207)
(468329140, 664.545, -162.79)
(470130246, -149.111, -718.511)
(470130248, -95.3929, -688.447)
(470130251, -92.0815, -730.076)
(470130253, -132.742, -753.486)
(470130255, -146.322, -730.501)
(470130262, -195.169, -748.213)
(470130265, -180.018, -778.586)
(470130269, -74.0291, -283.853)
(470130272, -61.4122, -285.316)
(470130275, -64.3029, -322.161)
(470130278, -79.4474, -320.197)
(470130285, -143.977, -337.092)
(470130286, -141.539, -313.869)
(470130287, -149.621, -313.4)
(470130290, -151.6, -322.488)
(470130294, -163.719, -322.034)
(470130295, -166.118, -355.858)
(470130296, -155.524, -354.797)
(470130297, -154.077, -335.62)
(470130298, -191.89, -233.684)
(470130299, -177.936, -233.631)
(470130300, -181.196, -252.594)
(470130301, -199.451, -267.127)
(470130302, -209.392, -254.298)
(470130303, -194, -246.047)
(470130304, -208.398, -255.127)
(470130306, -218.697, -281.376)
(470130307, -227.52, -282.241)
(470130308, -246.545, -256.734)
(470130309, -234.036, -247.474)
(470130310, -219.05, -263.004)
(470130311, -182.405, -185.346)
